seconds_since_start,reading_1_us,reading_2_us,reading_3_us,reading_4_us,reading_5_us,reading_6_us,reading_7_us,reading_8_us,reading_9_us,reading_10_us,reading_11_us,reading_12_us,reading_13_us,reading_14_us,reading_15_us,reading_16_us,reading_17_us,reading_18_us,reading_19_us,reading_20_us
75984,95,72,60,61,59,69,70,61,60,59,67,70,60,61,61,70,71,61,61,60
76289,82,61,37,61,61,62,39,62,61,60,40,61,63,62,39,60,61,61,41,59
76595,87,69,69,61,58,62,70,72,60,62,60,73,70,59,61,60,67,67,59,61
76900,54,64,61,61,39,61,63,59,39,61,62,61,39,60,60,61,40,63,60,60
77205,88,69,69,60,61,62,71,68,60,61,62,71,69,60,61,60,71,69,61,60
77510,82,39,61,61,62,39,61,61,61,42,61,61,60,39,62,61,61,39,60,61
77815,84,71,71,59,60,61,69,68,62,61,61,68,74,63,61,61,68,69,61,61
78120,82,58,39,65,61,60,39,61,61,60,40,59,61,60,41,59,59,61,42,60
78426,82,59,70,66,61,59,60,68,69,60,60,62,72,69,59,60,60,67,68,60
78731,86,39,61,62,61,39,60,61,60,40,63,61,61,40,59,62,61,42,59,59
79036,88,72,69,61,59,61,70,68,61,60,60,66,68,64,60,61,68,68,62,61
79341,84,40,60,60,60,41,59,61,61,41,59,63,61,39,62,58,60,40,60,61
79646,94,61,61,62,71,72,62,61,61,67,68,60,63,61,67,71,60,61,61,67
79951,53,64,61,62,41,62,60,61,37,64,60,59,38,62,60,60,41,61,61,61
80256,92,60,61,61,68,70,58,60,60,67,69,63,62,61,69,70,61,63,61,68
80562,91,65,63,63,38,63,62,62,38,62,61,61,38,61,59,62,40,60,62,60
80867,85,64,72,70,61,60,60,68,70,60,63,60,70,70,62,64,59,68,70,61
81172,56,63,60,62,38,61,61,59,42,60,61,61,39,60,60,58,40,60,60,62
81477,92,61,63,62,72,68,61,59,61,67,68,60,62,63,71,69,60,59,61,68
81782,58,64,59,60,37,61,60,59,39,63,60,60,40,60,61,61,39,62,60,60
0,1047,1030,1029,1036,1054,1029,1030,1034,1037,1057,1056,1037,1057,1031,1047,1036,1052,1029,1031,1040
0,1029,1045,1035,1058,1029,1030,1052,1028,1032,1045,1029,1027,1051,1027,1037,1038,1031,1028,1032,1038
0,1051,1028,1032,1037,1029,1052,1029,1029,1044,1037,1026,1033,1030,1037,1056,1037,1029,1029,1028,1037
0,1050,1036,1041,1042,1032,1038,1031,1041,1043,1036,1037,1043,1041,1043,1036,1037,1034,1041,1047,1043
0,85,62,40,61,65,61,41,60,60,59,40,62,62,62,40,60,62,60,38,60
422,68,62,59,39,62,62,59,42,61,60,61,40,61,60,63,41,63,61,61,39
727,84,65,61,69,69,61,60,62,70,71,60,61,62,71,67,63,61,64,69,70
1032,87,61,39,60,62,61,39,60,60,61,40,63,60,60,40,60,61,62,40,61
1338,86,63,62,70,67,62,61,61,68,70,62,61,61,71,68,61,61,60,70,68
